                                                           Список баз данных
                 Им\xFF                  |   Владелец   | Кодировк |     LC_COLLATE      |      LC_CTYPE       |        Права доступа         
----------------------------------------+----------+------+---------------------+---------------------+-----------------------
 16st01.09.20d                          | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st01.10.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st02.09.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st02.09.20d                          | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st02.10.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st02.11.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st03.09.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st03.09.20d                          | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st03.11.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st04.09.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st04.09.20d                          | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st05.10.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st05.11.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st05.11.20ons                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st06.10.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st06.11.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st06.11.20ons                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st07.09.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st07.09.20d                          | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st07.10.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st08.09.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st08.09.20d                          | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st08.10.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st09.09.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st09.10.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st10.09.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st11.09.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st11.09.20ons                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st12.10.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st12.10.20ons                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st13.10.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st13.10.20ons                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st14.09.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st14.10.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st14.10.20ons                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st15.09.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st15.09.20ons                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st15.10.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st15.10.20ons                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st16.09.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st16.10.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st16.10.20ons                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st17.09.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st17.09.20ons                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st18.09.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st18.09.20ons                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st19.10.20ons                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st20.10.20ons                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st21.09.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st21.10.20ons                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st22.09.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st22.09.20ons                        | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st22.10.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st23.09.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st23.10.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st24.09.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st25.08.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st25.08.20d                          | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st25.09.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st26.08.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st26.08.20d                          | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st26.10.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st27.08.20                           | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
 16st27.08.20d                          | postgres | UTF8 | Russian_Russia.1251 | Russian_Russia.1251 | 
